Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. Protein q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,MW [kDa],Gene Symbol,"Abundance Ratio: (Heavy, Soluble_S59L-Treat) / (Light, Soluble_S59L-Treat)","Abundance Ratio: (Heavy, Soluble_S59L-WT) / (Light, Soluble_S59L-WT)","Abundance Ratio P-Value: (Heavy, Soluble_S59L-Treat) / (Light, Soluble_S59L-Treat)","Abundance Ratio P-Value: (Heavy, Soluble_S59L-WT) / (Light, Soluble_S59L-WT)","Abundance: F9: Light, Sample, S8, Soluble_S59L-Treat, 4","Abundance: F11: Light, Sample, S7, Soluble_S59L-Treat, 3","Abundance: F13: Light, Sample, S6, Soluble_S59L-Treat, 2","Abundance: F15: Light, Sample, S5, Soluble_S59L-Treat, 1","Abundance: F10: Light, Sample, S4, Soluble_S59L-WT, 4","Abundance: F12: Light, Sample, S3, Soluble_S59L-WT, 3","Abundance: F14: Light, Sample, S2, Soluble_S59L-WT, 2","Abundance: F16: Light, Sample, S1, Soluble_S59L-WT, 1","Abundance: F9: Heavy, Sample, S8, Soluble_S59L-Treat, 4","Abundance: F11: Heavy, Sample, S7, Soluble_S59L-Treat, 3","Abundance: F13: Heavy, Sample, S6, Soluble_S59L-Treat, 2","Abundance: F15: Heavy, Sample, S5, Soluble_S59L-Treat, 1","Abundance: F10: Heavy, Sample, S4, Soluble_S59L-WT, 4","Abundance: F12: Heavy, Sample, S3, Soluble_S59L-WT, 3","Abundance: F14: Heavy, Sample, S2, Soluble_S59L-WT, 2","Abundance: F16: Heavy, Sample, S1, Soluble_S59L-WT, 1",Modifications,WikiPathways,Reactome Pathways
FALSE,High,Master Protein,Q7TMM9,Tubulin beta-2A chain [OS=Mus musculus],0,245.258,73,24,940,1,49.9,Tubb2a,0.791,0.969,0.041399816,0.677927295,120426912,109892632,82907472,108525152,9607331,10689888,9981624,15529486,86546208,89888232,79290360,83062568,6822772.5,9884859,12171350,15776446,,,MHC class II antigen presentation; Recycling pathway of L1; Separation of Sister Chromatids; PKR-mediated signaling; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; EML4 and NUDC in mitotic spindle formation; COPI-dependent Golgi-to-ER retrograde traffic; Kinesins; COPI-mediated anterograde transport; Recruitment of NuMA to mitotic centrosomes; Intraflagellar transport; Carboxyterminal post-translational modifications of tubulin; Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; Hedgehog 'off' state; Cargo trafficking to the periciliary membrane; RHO GTPases activate IQGAPs; COPI-independent Golgi-to-ER retrograde traffic; The role of GTSE1 in G2/M progression after G2 checkpoint; Aggrephagy; Sealing of the nuclear envelope (NE) by ESCRT-III
FALSE,High,Master Protein,P57780,Alpha-actinin-4 [OS=Mus musculus],0,243.625,63,47,375,29,104.9,Actn4,2.078,2.662,0.000590444,0.032303862,125688332.5,106461550.5,90785810.94,101263320,16586551.59,14523278.75,14405963.63,60492024,247940087.5,254013534,198688683.5,196233335,36521940.13,46751827.75,58219806.75,81232961,,Striated muscle contraction; Primary focal segmental glomerulosclerosis (FSGS),Platelet degranulation
FALSE,High,Master Protein,Q9D0F9,Phosphoglucomutase-1 [OS=Mus musculus],0,241.75,83,34,735,33,61.4,Pgm1,1.364,0.64,0.013226318,0.009454272,2216715313,2186711466,1735359374,2509691666,1281825332,1429786935,1272055978,1754507214,2948328876,3060989474,3068252081,3297496196,672395535,866256381.5,953870122,1186941938,,Glucuronidation; Purine metabolism; Glycogen metabolism,Neutrophil degranulation; Glycogen breakdown (glycogenolysis); Galactose catabolism; Glycogen synthesis
FALSE,High,Master Protein,P07310,Creatine kinase M-type [OS=Mus musculus],0,238.564,80,25,2055,24,43,Ckm,1.157,0.548,0.067682445,0.01223907,6552847586,6056925893,6444825243,6983915670,19051022728,21699673173,19402389800,22413260397,6769025733,6696925282,8524430142,8450740326,8603735937,10835054694,14186604478,13482764645,Met-loss [N-Term],,Creatine metabolism
FALSE,High,Master Protein,Q8BIJ6,"Isoleucine--tRNA ligase, mitochondrial [OS=Mus musculus]",0,237.06,47,34,472,34,112.7,Iars2,0.854,0.333,0.017569238,0.000307489,662766381.3,530431305.6,571249903.6,552417554.3,829210838.5,809426818,763764140.1,824782916,512979928.8,438926596.1,517976272.5,486646491.3,235366080.3,251879438.5,272457179.9,298866039,,,Mitochondrial protein degradation
FALSE,High,Master Protein,P51174,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial [OS=Mus musculus]",0,236.35,74,27,1020,27,47.9,Acadl,0.966,0.337,0.351139515,0.001441878,10550226847,9161991907,9759629722,8857396305,16969348988,18231945341,15844602124,17693986863,8796046940,8327778267,10022115040,9096907234,4720567538,5554467397,6692238832,6578026073,,Fatty acid beta-oxidation; PPAR signaling pathway; Mitochondrial long chain fatty acid beta-oxidation,Beta oxidation of myristoyl-CoA to lauroyl-CoA; Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA
FALSE,High,Master Protein,Q9D0K2,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial [OS=Mus musculus]",0,233.98,64,21,907,21,56,Oxct1,1.351,0.673,0.006224631,0.032589237,2657397098,2104002071,2022746835,2139712294,3181926068,3295845670,2492361067,3111408410,3266762338,2876743288,3085981313,2855286120,1763623557,2006707605,2166849294,2312364422,,Synthesis and degradation of ketone bodies,Mitochondrial protein degradation; Utilization of Ketone Bodies
FALSE,High,Master Protein,Q99LC5,"Electron transfer flavoprotein subunit alpha, mitochondrial [OS=Mus musculus]",0,232.611,71,21,1292,21,35,Etfa,0.873,0.306,0.070355974,0.001127478,7361719922,5991126757,6652077149,5839509735,18055848458,19257355323,16783816460,18799047639,5453508848,4908495008,6186427771,5510246778,4416239439,5211922048,6146724582,6487295853,,,Respiratory electron transport
FALSE,High,Master Protein,P35564,Calnexin [OS=Mus musculus],0,231.574,53,29,612,29,67.2,Canx,2.347,2.178,0.000310262,0.00408062,478236735.1,443950275.1,419366748,434126552.3,210967879.9,181876869.9,198594677.8,221559841.9,1141538990,988462024,1151563553,1002021725,340711630.1,364917085.8,469613219.4,525048016.1,,,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC; MHC class II antigen presentation; Regulation of CDH1 posttranslational processing and trafficking to plasma membrane; Interleukin-35 Signalling; Interleukin-27 signaling; Calnexin/calreticulin cycle"
FALSE,High,Master Protein,Q61233,Plastin-2 [OS=Mus musculus],0,231.562,64,33,328,28,70.1,Lcp1,4.126,7.577,0.00117883,0.008540248,107777275,150761766.5,84378639.75,148580414.8,,8323709.5,8720462,7680805.5,507295355.8,545304623.5,462404550.3,489811099.3,26781731.44,39546605.44,57764449.5,66576514.25,,,
FALSE,High,Master Protein,P20029,Endoplasmic reticulum chaperone BiP [OS=Mus musculus],0,230.474,56,30,733,28,72.4,Hspa5,1.609,1.573,0.001500633,0.013215796,1010098645,916530643.3,833262893,800380285.3,619597418,604782993,633176768.3,706845186.3,1597351609,1371071302,1531926492,1309622413,762182706.5,878867805.5,1081154645,1202905722,,Mapk signaling pathway,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC; Regulation of HSF1-mediated heat shock response"
FALSE,High,Master Protein,Q8BU30,"Isoleucine--tRNA ligase, cytoplasmic [OS=Mus musculus]",0,228.893,47,49,323,49,144.2,Iars1,2.741,5.893,0.000727105,0.007922986,210749868.5,193478085,174401295,193736884,18748989,10240995,8988030,11084541.5,616301439,497216921,604344542,490617569.5,45947940.25,54171205.75,70593283,72766037.13,,,Transcriptional and post-translational regulation of MITF-M expression and activity
FALSE,High,Master Protein,P05202,"Aspartate aminotransferase, mitochondrial [OS=Mus musculus]",0,227.773,77,28,1086,28,47.4,Got2,0.981,0.335,0.452690557,0.000779916,5523791673,4453109340,5095072593,4532860591,13665813075,14112664534,12675440186,15247688103,4688309918,4175194808,5230186726,4716940178,3658206672,4504093005,4921547913,5358416889,,Glycolysis and gluconeogenesis; Alanine and aspartate metabolism,Aspartate and asparagine metabolism; Glutamate and glutamine metabolism; Glyoxylate metabolism and glycine degradation; Malate-aspartate shuttle
FALSE,High,Master Protein,P52825,"Carnitine O-palmitoyltransferase 2, mitochondrial [OS=Mus musculus]",0,227.177,61,34,675,34,73.9,Cpt2,1.683,0.545,0.003409106,0.013203204,437423123,299450401.5,376931050,334886740,1411511937,1146254311,1035112557,1139862032,595849928.5,505260754.5,653941588.3,561908809.8,498526452.5,592243754.5,657423458,654125103,,Fatty acid beta-oxidation; PPAR signaling pathway; Fatty acid beta-oxidation (streamlined); Mitochondrial long chain fatty acid beta-oxidation,Carnitine shuttle
FALSE,High,Master Protein,P26231,Catenin alpha-1 [OS=Mus musculus],0,224.834,54,34,378,27,100,Ctnna1,2.826,2.414,0.001978599,0.007298893,202562797.8,216462165.3,165776097.5,237207816,79228717.94,47913061.19,82000072.75,80411804.25,612389812.5,571802343.5,594787154.5,527848900,127135801.3,139791441.8,192417164.8,199620843,Acetyl [N-Term],White fat cell differentiation,RHO GTPases activate IQGAPs; Degradation of CDH1; Adherens junctions interactions; Myogenesis; VEGFR2 mediated vascular permeability; Regulation of CDH1 Function
FALSE,High,Master Protein,Q9WUA3,"ATP-dependent 6-phosphofructokinase, platelet type [OS=Mus musculus]",0,224.023,60,36,325,32,85.4,Pfkp,2.222,0.376,0.000446807,0.002261206,244322384.5,233320154.8,210693309.4,187848927.3,162470530.5,175080882.5,144451983.5,167517342,567767177.5,474212420.8,530252854.5,398994070.5,46887801.44,57812129.91,61884500.75,73798354,Acetyl [N-Term]; Met-loss+Acetyl [N-Term],Glycolysis and gluconeogenesis,Glycolysis
FALSE,High,Master Protein,Q9QXX4,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial [OS=Mus musculus]",0,222.864,65,31,573,26,74.4,Slc25a13,0.879,0.289,0.15146184,0.000786518,692215536,524983612.8,548651409.8,536697948.3,1988651811,1772311774,1672404291,1884668599,558491976.5,415104770,557607476.8,513816088,464023380.3,467281580.8,579598845.8,597024397.3,,,Aspartate and asparagine metabolism; Malate-aspartate shuttle
FALSE,High,Master Protein,P14873,Microtubule-associated protein 1B [OS=Mus musculus],0,222.818,28,43,148,42,270.1,Map1b,4.17,1.666,0.002192846,0.06088342,70913989,42556217.25,23198172,30368118.25,5220107,9048033,5244305.5,11744653,217490449,191466054.5,143021628.8,117361388.4,12804059.75,11800577.25,11166304.75,13981405.75,Acetyl [N-Term],Wnt signaling pathway,
FALSE,High,Master Protein,Q8QZT1,"Acetyl-CoA acetyltransferase, mitochondrial [OS=Mus musculus]",0,222.336,79,25,790,25,44.8,Acat1,0.985,0.394,0.530741355,0.002977746,3533528689,2921965180,3147377595,3099889297,6938019709,8418053349,6164484427,7139035690,3700718722,2312342806,2916759770,3317638159,2325535943,2847836895,3066677199,3279061430,,Fatty acid beta-oxidation; Fatty acid beta-oxidation (streamlined); Synthesis and degradation of ketone bodies; Tryptophan metabolism,Mitochondrial protein degradation; Branched-chain amino acid catabolism; Maturation of TCA enzymes and regulation of TCA cycle; Synthesis of Ketone Bodies; Utilization of Ketone Bodies
FALSE,High,Master Protein,P31001,Desmin [OS=Mus musculus],0,221.608,76,37,1080,33,53.5,Des,0.986,1.106,0.394810633,0.201841069,4382613980,4165620442,3394169384,2723230228,855994734,963438570,1066534035,1036181714,3942593543,4132566554,3478210956,2667242762,818571730,1028775644,1386695677,1187144735,Met-loss+Acetyl [N-Term]; Acetyl [N-Term],Striated muscle contraction,Striated Muscle Contraction
FALSE,High,Master Protein,P63260,"Actin, cytoplasmic 2 [OS=Mus musculus]",0,221.51,85,22,1618,1,41.8,Actg1,0.001,,,,12188692,7288528,,,,,,,,,6326162.5,,,,,,Acetyl [N-Term],Striated muscle contraction; Myometrial relaxation and contraction pathways; Regulation of actin cytoskeleton; Focal adhesion,RHO GTPases activate IQGAPs; Adherens junctions interactions; Regulation of CDH1 Function; RHO GTPases Activate Formins; Regulation of actin dynamics for phagocytic cup formation; Platelet degranulation ; Interaction between L1 and Ankyrins; MAP2K and MAPK activation; Recycling pathway of L1; Clathrin-mediated endocytosis; Formation of the dystrophin-glycoprotein complex (DGC); EPHB-mediated forward signaling; RHOF GTPase cycle; Formation of annular gap junctions; VEGFA-VEGFR2 Pathway; Cell-extracellular matrix interactions; RHO GTPases Activate WASPs and WAVEs; RHOBTB2 GTPase cycle
FALSE,High,Master Protein,Q91YT0,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial [OS=Mus musculus]",0,220.434,73,25,764,25,50.8,Ndufv1,1.38,0.595,0.00615886,0.009042077,1895691328,1565066229,1784794709,1588610594,5852889715,5144873676,4853087909,5039096620,2342743073,2030502454,2618632900,2352709160,2805853610,2747541763,3372227323,3343778814,,Oxidative phosphorylation; Electron transport chain,Complex I biogenesis; Mitochondrial protein degradation
FALSE,High,Master Protein,Q9D6F9,Tubulin beta-4A chain [OS=Mus musculus],0,220.128,70,21,951,1,49.6,Tubb4a,,,,,,,,,,,,,,,,,,,,,,Exercise-induced circadian regulation,Anchoring of the basal body to the plasma membrane; COPI-dependent Golgi-to-ER retrograde traffic; Regulation of PLK1 Activity at G2/M Transition; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; Recruitment of NuMA to mitotic centrosomes; AURKA Activation by TPX2; COPI-independent Golgi-to-ER retrograde traffic; Kinesins; MHC class II antigen presentation; COPI-mediated anterograde transport; Separation of Sister Chromatids; PKR-mediated signaling; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; EML4 and NUDC in mitotic spindle formation; Intraflagellar transport; Carboxyterminal post-translational modifications of tubulin; Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; Recycling pathway of L1; Hedgehog 'off' state; Cargo trafficking to the periciliary membrane; RHO GTPases activate IQGAPs; The role of GTSE1 in G2/M progression after G2 checkpoint; Aggrephagy; Sealing of the nuclear envelope (NE) by ESCRT-III
FALSE,High,Master Protein,Q9EQ20,"Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial [OS=Mus musculus]",0,219.94,69,28,570,28,57.9,Aldh6a1,1.066,0.368,0.560056224,0.000519047,698727569.8,524435196.5,558162850,492611141.5,2185266049,2332314883,2312649716,2411350430,624551912.3,509284100.5,653064070.5,580961723,666952269.3,819847865.4,892342409,982937959.1,,,Branched-chain amino acid catabolism
FALSE,High,Master Protein,Q02257,Junction plakoglobin [OS=Mus musculus],0,218.947,70,37,361,32,81.7,Jup,1.552,0.746,0.017747296,0.052944695,305041508.3,311936283.5,314870335.8,263021555.5,167308163.1,135091585.6,140039854.5,174016307.8,353607536,499284366.3,474065947,434682653,89572292.25,90598133,116053925.6,149811367.8,,Wnt signaling pathway,Neutrophil degranulation; RHOA GTPase cycle; RHOB GTPase cycle; Formation of the cornified envelope; RHOQ GTPase cycle; RHOC GTPase cycle; RHOH GTPase cycle; Degradation of CDH1; Adherens junctions interactions; Regulation of CDH1 posttranslational processing and trafficking to plasma membrane; Regulation of CDH11 function; VEGFR2 mediated vascular permeability; Regulation of CDH1 Function
FALSE,High,Master Protein,P02469,Laminin subunit beta-1 [OS=Mus musculus],0,218.186,35,46,377,44,197,Lamb1,0.475,0.213,0.066068125,0.001779223,76472314.75,81951389,124420398,76157731,258315264.5,317979617.5,328922646,242052932,28327498,33768405.5,68069461.25,75328706.25,40194989.31,57627043.44,82442300,70986049.63,,Focal adhesion: PI3K-Akt-mTOR signaling pathway; Inflammatory response pathway; Alpha 6 beta 4 integrin signaling pathway; Focal adhesion,
FALSE,High,Master Protein,E9Q557,Desmoplakin [OS=Mus musculus],0,217.178,29,66,238,66,332.7,Dsp,5.543,8.596,0.000291614,0.000642895,39391097.25,30298918.5,34776984.25,28527330.75,4375727,7063005.25,6271622.625,6259333,220160051.6,221644045.1,191194225.4,136158705,38705056,40808830.5,52387183.97,71903371.44,,Lung fibrosis; Alpha 6 beta 4 integrin signaling pathway,Neutrophil degranulation; Formation of the cornified envelope; RND3 GTPase cycle; RND1 GTPase cycle; Apoptotic cleavage of cell adhesion  proteins
FALSE,High,Master Protein,P68369,Tubulin alpha-1A chain [OS=Mus musculus],0,216.304,78,24,916,1,50.1,Tuba1a,,,,,,,,,,,,,,,,,,,,,,,COPI-dependent Golgi-to-ER retrograde traffic; Separation of Sister Chromatids; The role of GTSE1 in G2/M progression after G2 checkpoint; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; Kinesins; MHC class II antigen presentation; COPI-mediated anterograde transport; Anchoring of the basal body to the plasma membrane; PKR-mediated signaling; Resolution of Sister Chromatid Cohesion; Regulation of PLK1 Activity at G2/M Transition; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; Recruitment of NuMA to mitotic centrosomes; RHO GTPases Activate Formins; AURKA Activation by TPX2; EML4 and NUDC in mitotic spindle formation; Intraflagellar transport; Carboxyterminal post-translational modifications of tubulin; Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane; Recycling pathway of L1; Hedgehog 'off' state; Cargo trafficking to the periciliary membrane; RHO GTPases activate IQGAPs; COPI-independent Golgi-to-ER retrograde traffic; Aggrephagy; Sealing of the nuclear envelope (NE) by ESCRT-III
FALSE,High,Master Protein,Q8K411,"Presequence protease, mitochondrial [OS=Mus musculus]",0,214.142,49,36,351,36,117.3,Pitrm1,1.266,0.591,0.090690354,0.034049972,262731424.8,251220562.8,192051443.5,212201379.3,166867122.3,159427029.6,142025323.9,149103904.8,280882749.3,282808462.4,329363102.5,302192544,63104443.75,85070065.88,109601071.9,97753900.88,,,Mitochondrial protein import
FALSE,High,Master Protein,P68368,Tubulin alpha-4A chain [OS=Mus musculus],0,213.717,74,23,936,7,49.9,Tuba4a,0.774,1.029,0.020017333,0.739831779,971952438.5,879680315.5,746626730,878450832.5,305652699.5,320908660,231605448,374030016,691373602,703337115,676962723,658187991,242927136,296967500,331788695.5,427927357,,T cell receptor signaling pathway,Platelet degranulation ; Separation of Sister Chromatids; Regulation of PLK1 Activity at G2/M Transition; The role of GTSE1 in G2/M progression after G2 checkpoint; Aggrephagy; PKR-mediated signaling; MHC class II antigen presentation; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; EML4 and NUDC in mitotic spindle formation; COPI-dependent Golgi-to-ER retrograde traffic; Kinesins; COPI-mediated anterograde transport; Anchoring of the basal body to the plasma membrane; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; Recruitment of NuMA to mitotic centrosomes; AURKA Activation by TPX2; Intraflagellar transport; Carboxyterminal post-translational modifications of tubulin; Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; Recycling pathway of L1; Hedgehog 'off' state; Cargo trafficking to the periciliary membrane; RHO GTPases activate IQGAPs; COPI-independent Golgi-to-ER retrograde traffic; Sealing of the nuclear envelope (NE) by ESCRT-III
FALSE,High,Master Protein,Q9CQN1,"Heat shock protein 75 kDa, mitochondrial [OS=Mus musculus]",0,213.106,57,34,412,33,80.2,Trap1,3.195,1.902,0.001683453,0.011014848,232269598.5,214480694.4,206227943.3,238709696.6,220066549.4,202375828.9,166834141.3,224375037.5,702664958,645566888.5,695719517,1173780742,296448899.8,448845317.1,318140849.3,425736250,,TGF-beta receptor signaling pathway,Citric acid cycle (TCA cycle)
FALSE,High,Master Protein,Q99MN9,"Propionyl-CoA carboxylase beta chain, mitochondrial [OS=Mus musculus]",0,211.812,66,26,433,26,58.4,Pccb,0.854,0.268,0.066853145,0.000186412,336631517.8,243943629.3,287637592.5,246140714.5,829427570.8,835168196,793485775.6,857898544.5,253512921.8,210052397.5,243418198.5,242127891,195468846,206956803.5,237168966,248575734.3,,,Biotin transport and metabolism; Mitochondrial protein degradation; Propionyl-CoA catabolism
FALSE,High,Master Protein,O88492,Perilipin-4 [OS=Mus musculus],0,211.524,58,32,407,32,139.3,Plin4,2.858,2.024,0.000451408,0.004586623,118357945,102056122.5,103353739.8,140210232.8,121391928.5,132321070.9,100660682.5,134473548.3,334174536.2,295254535.3,371061256.6,375307414.5,193227802.3,256377085.8,246796096.6,284301057.2,,,
FALSE,High,Master Protein,P27546,Microtubule-associated protein 4 [OS=Mus musculus],0,210.707,48,35,283,35,117.4,Map4,3.647,6.795,0.000905072,0.00246078,168352856.1,120242380.5,103686094,137446679.3,9799169.469,11989216.06,7077799.813,14616047.63,584601627.1,460516402.4,550294720.4,468921192.5,43274954.47,66036380.38,76667397.88,122537410.2,,,
FALSE,High,Master Protein,Q8BKC5,Importin-5 [OS=Mus musculus],0,209.513,53,40,311,40,123.5,Ipo5,4.924,4.736,7.10782E-05,0.005920902,170742241,145123918.8,128196526.3,151043577.5,38854169.63,27124055,22358181.25,44839586.25,823375785,729534754,748744260,694980342,102540345.6,153318219.3,157386708,177927519.3,Acetyl [N-Term]; Met-loss+Acetyl [N-Term],,
FALSE,High,Master Protein,P08113,Endoplasmin [OS=Mus musculus],0,208.876,52,38,464,37,92.4,Hsp90b1,2.42,2.541,6.39612E-05,0.000546667,448839790.5,423345144.3,397315022.3,411807927.3,142849766.5,160647108.1,169151933.1,250217860.4,1080204053,993163610.5,1058408379,1001909585,371148935.5,376260422.8,525262267.9,621974196.8,,Focal adhesion: PI3K-Akt-mTOR signaling pathway; Hypoxia-dependent self-renewal of myoblasts,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; Scavenging by Class A Receptors; Trafficking and processing of endosomal TLR; Interleukin-4 and Interleukin-13 signaling
FALSE,High,Master Protein,Q924X2,"Carnitine O-palmitoyltransferase 1, muscle isoform [OS=Mus musculus]",0,208.771,48,36,674,34,88.2,Cpt1b,0.927,0.578,0.124030421,0.008972982,1232181173,1118661008,1167956224,1073887329,1423513705,1475962915,1207510959,1462759784,1066921899,989117809,1166870339,1043355652,705412559,790610827.5,886148468.5,912135137.5,Met-loss+Acetyl [N-Term]; Acetyl [N-Term],Fatty acid beta-oxidation; PPAR signaling pathway; Fatty acid beta-oxidation (streamlined),Carnitine shuttle
FALSE,High,Master Protein,Q8BH64,EH domain-containing protein 2 [OS=Mus musculus],0,207.841,68,26,421,23,61.1,Ehd2,1.022,0.57,0.829098924,0.047099926,381598680.5,298872248.5,269838477.5,294963321.5,626940171.5,583315687.5,510178031.5,681149923.5,275087880,296179144,323737435.5,310819732,282229652,246509511.5,419866874,492027318.5,,Insulin signaling,Factors involved in megakaryocyte development and platelet production
FALSE,High,Master Protein,P16125,L-lactate dehydrogenase B chain [OS=Mus musculus],0,207.621,67,19,786,18,36.5,Ldhb,1.76,1.025,0.001143486,0.73852451,4181778678,3651663516,3882924113,4167722217,7497710636,7808935790,8319479318,10291914952,6983605220,6398277243,8086903212,7367615972,6150410461,8176622354,8848988293,10317119675,,Glycolysis and gluconeogenesis,Pyruvate metabolism
FALSE,High,Master Protein,A2AN08,E3 ubiquitin-protein ligase UBR4 [OS=Mus musculus],0,207.014,17,65,210,65,571.9,Ubr4,17.442,1000,0.000278001,,4635697.5,7109458,8450840,6508296,,,,,145034226,118167781.3,147662782.8,113317877.1,13174694.5,11156259.75,11676492.5,8520911.375,,,Neutrophil degranulation; Antigen processing: Ubiquitination & Proteasome degradation
FALSE,High,Master Protein,P05201,"Aspartate aminotransferase, cytoplasmic [OS=Mus musculus]",0,205.899,87,29,637,29,46.2,Got1,1.624,0.731,0.002602014,0.027756609,3273541194,2936369250,3039757769,2933496223,3820072073,4567537744,3802607010,4579967035,5328043378,4758465895,5929048860,4423095392,2277297314,3089549169,3258875661,3618605741,Met-loss [N-Term],Glycolysis and gluconeogenesis; Alanine and aspartate metabolism,Aspartate and asparagine metabolism; Malate-aspartate shuttle
FALSE,High,Master Protein,Q7TPR4,Alpha-actinin-1 [OS=Mus musculus],0,205.627,53,39,315,18,103,Actn1,0.84,0.276,0.031741235,0.001505306,922898007.5,1048347428,1062776671,912981915.3,1298798464,1318971648,1310040238,1462478720,632583808.5,910408106,862975913.5,797584558.5,304797057.9,322562178.8,494205817.5,456511947.1,,Regulation of actin cytoskeleton; Integrin-mediated cell adhesion; Focal adhesion,Platelet degranulation ; RHOF GTPase cycle; RHOBTB2 GTPase cycle; RHOD GTPase cycle; Regulation of cytoskeletal remodeling and cell spreading by IPP complex components
FALSE,High,Master Protein,Q8BMJ2,"Leucine--tRNA ligase, cytoplasmic [OS=Mus musculus]",0,205.399,47,44,264,44,134.1,Lars1,3.62,1.185,0.000475676,0.45442672,149017036.5,111042818.3,103023368.5,104959066.5,8775853,15303381,10243713.5,19390246.5,529772281.8,409413706.3,496897195,351587600,12786992.38,14748554.25,32463317.06,13421807.5,,,Transcriptional and post-translational regulation of MITF-M expression and activity
FALSE,High,Master Protein,Q99MR8,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial [OS=Mus musculus]",0,204.749,64,31,360,31,79.3,Mccc1,2.199,0.478,0.003957796,0.003578665,72593404.75,68756844.13,49128754.75,61514988.75,515710848,502655617,447651606.5,517243521,152975676.5,152157676.5,164494928.5,134373827,194565057,216862747,249425689.5,273884884,,,Branched-chain amino acid catabolism; Biotin transport and metabolism
FALSE,High,Master Protein,Q91WD5,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial [OS=Mus musculus]",0,203.442,75,23,880,23,52.6,Ndufs2,1.057,0.384,0.70965452,0.001630602,1235787404,977062330,1131154296,975596206.8,3839604287,3503382414,3223109521,3424313565,1054689565,993196324.8,1327997724,1072172410,1227573567,1240205676,1524562172,1429046062,,Oxidative phosphorylation; Electron transport chain,Complex I biogenesis
FALSE,High,Master Protein,P17182,Alpha-enolase [OS=Mus musculus],0,202.8,72,22,1025,17,47.1,Eno1,1.441,0.491,0.00207204,0.007366488,2018766614,1878844631,1571117709,1714398811,1305632508,1371316139,1225111154,1477921962,2897681094,2718189711,2563500255,2338804335,504155894.1,584488127.1,747769189,837269964.3,,Glycolysis and gluconeogenesis,
FALSE,High,Master Protein,P17563,Methanethiol oxidase [OS=Mus musculus],0,202.24,79,30,445,30,52.5,Selenbp1,1.152,0.407,0.449634396,0.001514847,169008142.6,138567085.4,148069707.5,160447248.6,683833643.3,897181016,877645803,1142769458,138232542.3,157898865,193275704.3,186944405.6,271601350,352273639,366484828.8,616542353,,Selenium metabolism / selenoproteins,
FALSE,High,Master Protein,P47934,Carnitine O-acetyltransferase [OS=Mus musculus],0,201.917,64,30,550,30,70.8,Crat,1.026,0.341,0.380141786,0.001556883,1239188850,1002626684,1177008236,1119564301,3290063027,3348569259,2951215498,3171181006,1220048087,973613970.4,1359621201,1195869657,896201351.3,1012514211,1213578332,1220103962,,Fatty acid beta-oxidation,Peroxisomal protein import; Beta-oxidation of pristanoyl-CoA
FALSE,High,Master Protein,P06801,NADP-dependent malic enzyme [OS=Mus musculus],0,200.336,76,29,290,29,63.9,Me1,2.704,0.534,0.000222422,0.041796194,267195714.8,224982098.5,246847178,251594610,61989402,70885394.5,75683113.25,94185625.5,699811478.3,635534375.3,689207933.8,583626587.8,27551170.38,25193167.75,60957512.5,60442286.5,,PPAR signaling pathway,Regulation of pyruvate metabolism; Pyruvate metabolism
FALSE,High,Master Protein,P10493,Nidogen-1 [OS=Mus musculus],0,200.247,47,39,370,38,136.5,Nid1,0.609,0.5,0.007762589,0.01894517,189872712.9,199629693.2,180937348.1,144029582.9,119619869.9,135486759,131987408,156426608.5,111369971,106808543.6,137254527,91141715,35534521.5,58583034.25,81255854.5,90505784,,,Laminin interactions; Degradation of the extracellular matrix
